,true_latency_s
cluster_8_4674622#35980a77-2b55-4ce4-975a-cf630e365789,64.41777071414161
cluster_8_4674641#35980a77-2b55-4ce4-975a-cf630e365789,34.78902149466376
cluster_8_4674652#35980a77-2b55-4ce4-975a-cf630e365789,63.6419362964768
cluster_8_4674659#35980a77-2b55-4ce4-975a-cf630e365789,27.26690886993911
cluster_8_4674664#35980a77-2b55-4ce4-975a-cf630e365789,43.289980427791875
cluster_8_4674673#35980a77-2b55-4ce4-975a-cf630e365789,969.1792554832034
cluster_8_4674678#35980a77-2b55-4ce4-975a-cf630e365789,107.17053067499205
cluster_8_4674688#35980a77-2b55-4ce4-975a-cf630e365789,44.58136006716506
cluster_8_4674693#35980a77-2b55-4ce4-975a-cf630e365789,63.797988677878834
cluster_8_4674706#35980a77-2b55-4ce4-975a-cf630e365789,9.603420078566197
cluster_8_4674711#35980a77-2b55-4ce4-975a-cf630e365789,31.39582190658269
cluster_8_4674725#35980a77-2b55-4ce4-975a-cf630e365789,38.83556026240609
cluster_8_4674746#35980a77-2b55-4ce4-975a-cf630e365789,371.50346575785966
cluster_8_4674752#35980a77-2b55-4ce4-975a-cf630e365789,3.2548330113159607
cluster_8_4674767#35980a77-2b55-4ce4-975a-cf630e365789,6.401847974597717
cluster_8_4674772#35980a77-2b55-4ce4-975a-cf630e365789,3.3086341744105097
cluster_8_4674781#35980a77-2b55-4ce4-975a-cf630e365789,102.21325510241815
cluster_8_4674788#35980a77-2b55-4ce4-975a-cf630e365789,338.7915744574372
cluster_8_4674802#35980a77-2b55-4ce4-975a-cf630e365789,40.07254638722972
cluster_8_4674809#35980a77-2b55-4ce4-975a-cf630e365789,121.63374306759198
cluster_8_4674822#35980a77-2b55-4ce4-975a-cf630e365789,340.6619564450042
cluster_8_4674831#35980a77-2b55-4ce4-975a-cf630e365789,89.8875955822488
cluster_8_4674840#35980a77-2b55-4ce4-975a-cf630e365789,184.80147675396782
cluster_8_4674849#35980a77-2b55-4ce4-975a-cf630e365789,160.27841601488115
cluster_8_4674860#35980a77-2b55-4ce4-975a-cf630e365789,82.91825664097968
cluster_8_4674870#35980a77-2b55-4ce4-975a-cf630e365789,106.8436140855007
cluster_8_4674887#35980a77-2b55-4ce4-975a-cf630e365789,118.86568472779298
cluster_8_4674896#35980a77-2b55-4ce4-975a-cf630e365789,43.3593113492384
cluster_8_4674903#35980a77-2b55-4ce4-975a-cf630e365789,2.316545994850583
cluster_8_4674917#35980a77-2b55-4ce4-975a-cf630e365789,76.92875795328511
cluster_8_4674920#35980a77-2b55-4ce4-975a-cf630e365789,164.0386298223455
cluster_8_4674939#35980a77-2b55-4ce4-975a-cf630e365789,5.733835168248541
cluster_8_4674949#35980a77-2b55-4ce4-975a-cf630e365789,1175.2069774335323
cluster_8_4674958#35980a77-2b55-4ce4-975a-cf630e365789,15.661365152731216
cluster_8_4674965#35980a77-2b55-4ce4-975a-cf630e365789,8.999453202985599
cluster_8_4674978#35980a77-2b55-4ce4-975a-cf630e365789,93.21403319301486
cluster_8_4674985#35980a77-2b55-4ce4-975a-cf630e365789,91.49366032704755
cluster_8_4675003#35980a77-2b55-4ce4-975a-cf630e365789,108.25543156214391
cluster_8_4675010#35980a77-2b55-4ce4-975a-cf630e365789,603.2006010203875
cluster_8_4675015#35980a77-2b55-4ce4-975a-cf630e365789,4.9282998380760885
cluster_8_4675023#35980a77-2b55-4ce4-975a-cf630e365789,7.758864473964799
cluster_8_4675037#35980a77-2b55-4ce4-975a-cf630e365789,160.16939220433113
cluster_8_4675058#35980a77-2b55-4ce4-975a-cf630e365789,65.55884344081515
cluster_8_4675067#35980a77-2b55-4ce4-975a-cf630e365789,13.739940669362122
cluster_8_4675074#35980a77-2b55-4ce4-975a-cf630e365789,7.006378681553908
cluster_8_4675082#35980a77-2b55-4ce4-975a-cf630e365789,18.6147716548545
cluster_8_4675091#35980a77-2b55-4ce4-975a-cf630e365789,0.7415349486380823
cluster_8_4675101#35980a77-2b55-4ce4-975a-cf630e365789,20.048008951670862
cluster_8_4675114#35980a77-2b55-4ce4-975a-cf630e365789,44.04102911459015
cluster_8_4675121#35980a77-2b55-4ce4-975a-cf630e365789,254.37541987700428
cluster_8_4675134#35980a77-2b55-4ce4-975a-cf630e365789,2.304347099599397
cluster_8_4675145#35980a77-2b55-4ce4-975a-cf630e365789,597.7535008190492
cluster_8_4675159#35980a77-2b55-4ce4-975a-cf630e365789,2.2593281042410536
cluster_8_4675170#35980a77-2b55-4ce4-975a-cf630e365789,226.30304315814422
cluster_8_4675181#35980a77-2b55-4ce4-975a-cf630e365789,4.611247973167609
cluster_8_4675186#35980a77-2b55-4ce4-975a-cf630e365789,4.385865040345823
cluster_8_4675200#35980a77-2b55-4ce4-975a-cf630e365789,63.8508218350359
cluster_8_4675212#35980a77-2b55-4ce4-975a-cf630e365789,193.40431723117734
cluster_8_4675231#35980a77-2b55-4ce4-975a-cf630e365789,68.95905194874904
cluster_8_4675238#35980a77-2b55-4ce4-975a-cf630e365789,44.655963768549135
cluster_8_4675249#35980a77-2b55-4ce4-975a-cf630e365789,4.785819991189623
cluster_8_4675257#35980a77-2b55-4ce4-975a-cf630e365789,79.06729610617356
cluster_8_4675272#35980a77-2b55-4ce4-975a-cf630e365789,375.3077274269816
cluster_8_4675282#35980a77-2b55-4ce4-975a-cf630e365789,388.78964714529553
cluster_8_4675295#35980a77-2b55-4ce4-975a-cf630e365789,104.60564377413463
cluster_8_4675304#35980a77-2b55-4ce4-975a-cf630e365789,11.658125765808304
cluster_8_4675315#35980a77-2b55-4ce4-975a-cf630e365789,81.13599903275214
cluster_8_4675320#35980a77-2b55-4ce4-975a-cf630e365789,58.301124191149775
cluster_8_4675329#35980a77-2b55-4ce4-975a-cf630e365789,24.274355446068142
cluster_8_4675345#35980a77-2b55-4ce4-975a-cf630e365789,149.25421560924062
cluster_8_4675359#35980a77-2b55-4ce4-975a-cf630e365789,327.3253367291985
cluster_8_4675370#35980a77-2b55-4ce4-975a-cf630e365789,20.2178486186559
cluster_8_4675385#35980a77-2b55-4ce4-975a-cf630e365789,14.219163637106881
cluster_8_4675394#35980a77-2b55-4ce4-975a-cf630e365789,8.659777436442242
cluster_8_4675401#35980a77-2b55-4ce4-975a-cf630e365789,7.961034655947895
