,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
929,query_39,ext_tpcds1000#063#001,1778829317324,autoslo-16-1778829317324-0,16,0,0.9120008945465088,1.010868787765503,0.09886789321899414,1.108407671319397,False,stage,0.0
1511,query_36,ext_tpcds1000#041#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.9105639457702637,0.9251046975453695,0.014540751775105831,1.0159689518156856,False,stage,0.0
3458,query_141,ext_tpcds1000#048#001,1778834328135,autoslo-32-1778834328135-0,32,0,0.9079420566558838,1.4595274925231934,0.5515854358673096,1.6075117148983045,False,stage,0.0
801,query_144,ext_tpcds1000#063#001,1778836790029,autoslo-16-1778836790029-0,16,0,0.9062581062316895,1.010868787765503,0.10461068153381348,1.1154314436632131,False,stage,0.0
1309,query_67,ext_tpcds1000#003#001,1778824038818,autoslo-32-1778824038818-0,32,1,0.8995728492736816,2.4546926021575928,1.5551197528839111,2.728731393814087,False,lstm,1.003836750984192
2788,query_170,ext_tpcds1000#061#001,1778836931383,autoslo-32-1778836931383-0,32,0,0.8981850147247314,0.938748836517334,0.04056382179260254,1.045161989041906,False,stage,0.0
2405,query_103,ext_tpcds1000#033#001,1778826668997,autoslo-16-1778826668997-0,16,0,0.894866943359375,2.395680141448975,1.5008131980895998,2.6771355889574737,False,stage,0.0
2905,query_264,ext_tpcds1000#091#003,1778841575338,autoslo-16-1778841575338-0,16,3,0.8944978713989258,2.874347448348999,1.9798495769500732,3.2133641242980957,False,lstm,1.1673184633255005
2309,query_139,ext_tpcds1000#034#002,1778829721533,autoslo-32-1778829721533-0,32,0,0.8921148777008057,0.9053155183792114,0.013200640678405762,1.0147970188687212,False,stage,0.0
1605,query_99,ext_tpcds1000#083#002,1778834328135,autoslo-32-1778834328135-0,32,0,0.8874070644378662,1.239635666211446,0.35222860177357984,1.3969188615787067,False,stage,0.0
2497,query_136,ext_tpcds1000#003#001,1778834328135,autoslo-32-1778834328135-0,32,0,0.8863699436187744,0.8510612419673375,0.03530870165143696,1.0414878505920635,False,stage,0.0
2946,query_130,ext_tpcds1000#005#002,1778834328135,autoslo-32-1778834328135-0,32,0,0.8851280212402344,0.7677625928606305,0.11736542837960384,1.1528668229879608,False,stage,0.0
324,query_180,ext_tpcds1000#043#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.8844399452209473,0.8815934658050537,0.0028464794158935547,1.003228789148629,False,stage,0.0
3489,query_234,ext_tpcds1000#054#001,1778845494039,autoslo-32-1778845494039-0,32,0,0.8827199935913086,0.8829203446706136,0.00020035107930505003,1.0002269701386166,False,stage,0.0
1058,query_104,ext_tpcds1000#094#001,1778822227786,autoslo-32-1778822227786-0,32,0,0.8819839954376221,0.9658518632253011,0.08386786778767907,1.095090010954298,False,stage,0.0
101,query_267,ext_tpcds1000#043#003,1778841695519,autoslo-32-1778841695519-0,32,0,0.8812110424041748,0.8815934658050537,0.00038242340087890625,1.000433974817015,False,stage,0.0
96,query_143,ext_tpcds1000#091#001,1778836790029,autoslo-16-1778836790029-0,16,0,0.8807320594787598,2.6226073265075684,1.7418752670288087,2.9777584434245483,False,stage,0.0
196,query_71,ext_tpcds1000#098#002,1778841695519,autoslo-32-1778841695519-0,32,0,0.8802509307861328,1.679031491279602,0.7987805604934692,1.9074464252824996,False,stage,0.0
3191,query_79,ext_tpcds1000#083#002,1778845494039,autoslo-32-1778845494039-0,32,1,0.8794350624084473,1.6898785829544067,0.8104435205459595,1.9215501546859741,False,lstm,0.6531322002410889
1987,query_267,ext_tpcds1000#043#003,1778845494039,autoslo-32-1778845494039-0,32,0,0.8784809112548828,0.8815934658050537,0.0031125545501708984,1.0035431100554304,False,stage,0.0
3002,query_75,ext_tpcds1000#027#003,1778829721533,autoslo-32-1778829721533-0,32,1,0.8781061172485352,1.5113015174865723,0.6331954002380371,1.7210921049118042,False,lstm,0.5429590344429016
1119,query_152,ext_tpcds1000#037#001,1778841695519,autoslo-32-1778841695519-0,32,1,0.8730480670928955,1.4293299913406372,0.5562819242477417,1.6371721029281616,False,lstm,0.49297046661376953
1187,query_143,ext_tpcds1000#008#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.872567892074585,1.236234982808431,0.36366709073384595,1.4167779883227247,False,stage,0.0
1315,query_186,ext_tpcds1000#043#001,1778841695519,autoslo-32-1778841695519-0,32,0,0.86822509765625,1.0818814635276794,0.21365636587142944,1.246084070188928,False,stage,0.0
1173,query_178,ext_tpcds1000#092#003,1778826668997,autoslo-16-1778826668997-0,16,2,0.8681159019470215,2.2937114238739014,1.4255955219268799,2.642171859741211,False,lstm,0.9716012477874756
3047,query_44,ext_tpcds1000#073#001,1778829721533,autoslo-32-1778829721533-0,32,0,0.8650979995727539,0.6194086372852325,0.24568936228752136,1.3966514954720972,False,stage,0.0
966,query_35,ext_tpcds1000#027#001,1778822227786,autoslo-32-1778822227786-0,32,0,0.8644449710845947,2.156265377998352,1.2918204069137573,2.4943928764984853,False,stage,0.0
2118,query_52,ext_tpcds1000#019#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.8624181747436523,0.8661665916442871,0.0037484169006347656,1.0043464029520817,False,stage,0.0
601,query_209,ext_tpcds1000#098#003,1778845281053,autoslo-16-1778845281053-0,16,1,0.8610849380493164,2.5078389644622803,1.6467540264129639,2.9124176502227783,False,lstm,1.068983554840088
3398,query_48,ext_tpcds1000#061#001,1778827099259,autoslo-32-1778827099259-0,32,0,0.8584818840026855,0.938748836517334,0.08026695251464844,1.0934987144287804,False,stage,0.0
353,query_272,ext_tpcds1000#018#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.851834774017334,1.448255968093872,0.596421194076538,1.7001606558790254,False,stage,0.0
1983,query_107,ext_tpcds1000#008#003,1778829721533,autoslo-32-1778829721533-0,32,1,0.851161003112793,1.3315722942352295,0.4804112911224365,1.5644187927246094,False,lstm,0.4475143849849701
901,query_186,ext_tpcds1000#043#002,1778834328135,autoslo-32-1778834328135-0,32,0,0.8499631881713867,1.0159820318222046,0.16601884365081787,1.1953247457786864,False,stage,0.0
293,query_186,ext_tpcds1000#043#002,1778836931383,autoslo-32-1778836931383-0,32,0,0.8493750095367432,1.0159820318222046,0.16660702228546143,1.1961524890829205,False,stage,0.0
3496,query_103,ext_tpcds1000#033#001,1778829317324,autoslo-16-1778829317324-0,16,0,0.8482589721679688,2.395680141448975,1.547421169281006,2.824232009389925,False,stage,0.0
1830,query_101,ext_tpcds1000#053#001,1778829317324,autoslo-16-1778829317324-0,16,0,0.8455030918121338,1.0707358837127685,0.22523279190063472,1.2663890813431586,False,stage,0.0
